# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 15.4371 -311885 124.376 163141 72.9724 72.8937 35.4148 120 365.527 -8.50435 16.1038 1323.8 -3571.42 564.23
50 15.2814 -311885 193.268 163125 72.9815 72.8925 35.4075 120 196.016 -19.6186 403.406 1392.89 -3501.03 927.816
100 15.1539 -311885 -233.479 163136 72.9932 72.8902 35.4052 120 -306.167 -193.964 -200.305 1246.97 -3309.55 903.164
150 15.0539 -311886 86.6495 163133 72.9978 72.8839 35.4054 120 -150.501 -57.5879 468.038 1092.33 -3612.72 913.223
200 14.7954 -311886 107.897 163144 72.996 72.8797 35.4108 120 -127.217 446.103 4.80437 1394.11 -3483.2 814.128
250 14.7161 -311886 88.2646 163155 72.9871 72.8863 35.4142 120 -108.111 82.658 290.246 1354.76 -3878.92 766.847
300 14.7639 -311886 -272.5 163158 72.9738 72.8942 35.4174 120 -11.4855 -410.438 -395.576 1495.69 -3334.39 791.427
350 14.562 -311886 72.5042 163129 72.9633 72.892 35.4175 120 398.391 -153.163 -27.7156 1208.16 -3381.79 817.591
400 14.9484 -311886 343.518 163112 72.9673 72.8842 35.4156 120 539.217 389.898 101.437 1190.65 -3736.95 839.583
450 15.0458 -311886 -310.417 163133 72.9841 72.8799 35.4139 120 -650.506 -158.521 -122.225 1283.61 -3558.83 860.007
500 14.9854 -311885 65.9454 163130 72.988 72.8768 35.413 120 -128.083 283.688 42.2313 1006.64 -3612.53 981.013
550 15.273 -311885 226.746 163134 72.985 72.8812 35.4131 120 218.89 321.853 139.496 1019.49 -3495.39 847.773
600 15.2441 -311885 -181.38 163150 72.9828 72.8907 35.413 120 -110.617 -242.027 -191.495 1366.92 -3680.12 819.835
650 15.268 -311885 -144.969 163142 72.9785 72.8959 35.4109 120 -74.2021 -204.252 -156.452 1324.62 -3428.41 744.365
700 15.2391 -311885 208.351 163133 72.9757 72.8962 35.4101 120 90.1685 -14.9552 549.84 1382.04 -3599.8 1087.03
750 15.0967 -311885 -188.104 163149 72.9756 72.8927 35.4155 120 205.145 -434.095 -335.363 1472.24 -3522.32 752.406
800 15.0777 -311886 -49.3606 163143 72.9804 72.8797 35.4181 120 -33.2077 153.548 -268.422 1341.14 -3504.83 927.372
850 14.9298 -311886 365.392 163140 72.9882 72.8723 35.4173 120 291.153 421.648 383.374 1099.31 -3584.39 712.665
900 14.6094 -311885 -351.727 163186 72.9976 72.88 35.4189 120 -478.903 -4.70597 -571.572 1200.18 -3683.78 763.066
950 14.9505 -311887 -91.1854 163170 72.9922 72.8884 35.414 120 -370.778 7.52177 89.6997 1360.25 -3548.62 776.956
1000 14.6679 -311886 105.47 163116 72.976 72.891 35.4089 120 229.893 -226.725 313.241 1407.24 -3594.41 625.181
1050 14.9549 -311886 197.025 163093 72.9694 72.887 35.4089 120 465.364 19.589 106.122 1299.63 -3616.13 820.718
1100 15.1211 -311886 149.496 163132 72.979 72.8865 35.4131 120 171.72 305.673 -28.9063 1339.77 -3780.09 687.103
1150 15.1709 -311885 -278.268 163190 72.9937 72.8921 35.4159 120 -71.2941 -267.812 -495.698 1247.44 -3356.08 1023.06
1200 15.2465 -311885 -223.908 163189 73.0017 72.8927 35.4114 120 -390.574 -271.797 -9.35332 986.48 -3790.18 850.653
1250 15.2766 -311885 -41.6729 163142 72.9958 72.8862 35.4073 120 -420.272 18.4861 276.767 1312.06 -3270.82 956.624
1300 15.0152 -311885 50.4246 163100 72.9796 72.8807 35.4086 120 70.3829 43.0395 37.8515 1425.06 -3623.63 772.438
1350 15.1477 -311885 35.3665 163103 72.97 72.8808 35.414 120 99.8373 248.492 -242.23 1398.57 -3653.56 720.023
1400 15.17 -311886 196.591 163138 72.9699 72.8884 35.4178 120 186.218 293.419 110.137 1450.3 -3459.03 680.25
1450 14.9674 -311885 -116.573 163182 72.9747 72.9001 35.4195 120 57.6328 -237.129 -170.222 1344.37 -3645.09 787.419
1500 14.8059 -311885 -260.428 163177 72.9764 72.9007 35.4172 120 -3.12885 -411.05 -367.104 1325.13 -3598.08 871.682
1550 14.9908 -311886 256.959 163121 72.9753 72.8903 35.4107 120 240.82 308.176 221.881 1295.35 -3452.93 605.264
1600 14.7992 -311886 135.858 163114 72.9798 72.8876 35.4083 120 173.314 84.3188 149.94 1342.73 -3642.75 736.517
1650 14.6112 -311886 -33.6504 163140 72.9896 72.8859 35.41 120 -244.16 -110.45 253.659 1187.95 -3280.14 803.339
1700 14.9652 -311886 -113.433 163157 72.9925 72.882 35.4142 120 -173.562 -46.6643 -120.072 1051.01 -3544.56 905.798
1750 14.9781 -311886 48.1222 163150 72.9861 72.8805 35.4164 120 66.4827 169.083 -91.1991 1246.93 -3586.2 805.131
1800 15.0951 -311886 60.9655 163153 72.9804 72.8865 35.417 120 45.8294 380.816 -243.749 1328.09 -3605.41 1007.52
1850 15.0887 -311885 -451.33 163161 72.98 72.8964 35.4142 120 -423.228 -370.99 -559.772 1216.19 -3377.09 823.717
1900 15.1421 -311885 134.887 163122 72.9756 72.8973 35.4074 120 310.387 -171.241 265.514 1315.95 -3529.06 851.166
1950 15.2306 -311885 270.704 163114 72.979 72.8938 35.4056 120 256.041 -5.12751 561.198 1357.32 -3568.98 759.447
2000 15.2155 -311886 -252.189 163138 72.9856 72.888 35.4104 120 -289.646 -272.42 -194.5 894.082 -3633.3 864.644
2050 15.0343 -311885 178.857 163136 72.9844 72.878 35.4154 120 71.9634 181.455 283.154 1051.07 -3434.88 954.245
2100 15.0388 -311886 -222.293 163142 72.982 72.8723 35.4205 120 -244.582 -68.9885 -353.309 1103.35 -3497.06 1117.73
2150 14.7993 -311886 94.2228 163131 72.9781 72.8716 35.4206 120 178.159 324.678 -220.168 1309.43 -3297.4 932.944
2200 14.7388 -311886 -71.839 163152 72.9825 72.882 35.4179 120 -14.648 26.9543 -227.823 1335.47 -3580.61 885.912
2250 15.0081 -311886 -394.019 163166 72.9883 72.8921 35.4132 120 -460.844 -163.776 -557.437 1345.21 -3538.9 913.998
2300 14.839 -311886 254.738 163126 72.9831 72.8968 35.4047 120 144.243 -135.357 755.327 1021.83 -3555.83 961.169
2350 14.927 -311886 108.207 163124 72.9787 72.897 35.4063 120 -28.5806 -52.5768 405.778 1231.79 -3649.87 678.488
2400 15.0316 -311886 -181.317 163160 72.9774 72.8956 35.4155 120 -231.737 -93.6777 -218.536 1260.56 -3710.75 631.094
2450 15.1233 -311886 -69.1605 163179 72.9746 72.895 35.4213 120 134.449 63.3644 -405.295 1447.18 -3875.63 755.03
2500 15.1862 -311886 -23.5028 163171 72.9761 72.8943 35.4191 120 61.3701 -76.7867 -55.0918 1586.24 -3769.3 791.386
2550 15.0476 -311886 -59.6313 163145 72.9794 72.8903 35.4138 120 -14.7359 -142.249 -21.9093 1446.1 -3871.51 649.761
2600 15.1286 -311886 192.08 163126 72.9839 72.8842 35.4105 120 193.304 23.1907 359.747 1453.46 -3465.13 850.145
2650 15.094 -311886 17.3948 163154 72.9946 72.8799 35.4135 120 -252.739 132.443 172.48 1191.08 -3696.8 707.804
2700 15.0298 -311886 -137.541 163181 72.9987 72.8802 35.4173 120 -103.472 47.6452 -356.797 1126.72 -3529.57 764.92
2750 15.027 -311886 70.6534 163169 72.9937 72.8843 35.4151 120 114.702 90.3983 6.86037 1444.52 -3945.18 804.545
2800 14.8037 -311886 71.7756 163137 72.9866 72.8868 35.4104 120 42.7113 4.86504 167.75 1336.76 -3528.83 1055.68
2850 14.9012 -311887 107.207 163128 72.9822 72.8897 35.4091 120 -107.089 191.047 237.662 1235.72 -3830.32 667.67
2900 14.933 -311886 105.089 163141 72.9774 72.8963 35.411 120 231.646 62.9447 20.6752 1199.54 -3820.98 885.16
2950 14.9522 -311886 -109.627 163155 72.9753 72.8996 35.4136 120 -122.168 -315.685 108.971 1410.48 -3716.82 866.898
3000 14.9116 -311886 333.825 163152 72.9718 72.8951 35.4166 120 511.113 263.447 226.915 1255.9 -3454.73 934.952
3050 15.1312 -311886 -184.015 163175 72.9784 72.8941 35.4191 120 29.1761 -193.363 -387.857 1313.71 -3640.49 720.197
3100 15.0102 -311886 -240.252 163176 72.987 72.8905 35.4168 120 -241.315 -380.823 -98.619 1187.78 -3536.88 788.246
3150 14.9998 -311885 192.338 163142 72.9916 72.8795 35.4125 120 59.184 345.177 172.654 1115.04 -3628.96 1057.37
3200 15.0613 -311886 -52.0873 163153 72.9976 72.8793 35.4121 120 -191.634 154.962 -119.59 1136.64 -3668.56 906.596
3250 14.984 -311886 -265.26 163167 72.9968 72.8857 35.4124 120 -649.458 -91.7784 -54.5433 1338.55 -3658.34 697.805
3300 15.0891 -311887 269.888 163137 72.9808 72.889 35.412 120 331.642 60.7464 417.275 1393.77 -3563.58 805.189
3350 14.9914 -311886 -14.8746 163152 72.9747 72.8934 35.4162 120 230.094 -232.845 -41.8731 1382.6 -3673.88 808.02
3400 14.829 -311886 -83.2502 163159 72.9772 72.8892 35.4185 120 32.4832 -53.1199 -229.114 961.217 -3621.3 878.682
3450 15.0817 -311887 384.866 163140 72.9794 72.8845 35.4156 120 280.686 515.142 358.769 1223.11 -3565.71 863.598
3500 14.9396 -311886 -150.592 163162 72.9852 72.8923 35.4137 120 -206.238 -214.729 -30.809 1364.58 -3760.23 992.898
