# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 146.422 -311668 159.326 163833 73.2626 72.9564 35.3937 120 223.105 77.9585 176.915 -1824.17 -1282.73 -306.975
50 146.743 -311671 -253.527 163838 73.2663 72.9563 35.3931 120 -13.8969 -258.059 -488.624 -2323.19 -419.414 -915.372
100 147.938 -311675 -945.12 163841 73.2697 72.9557 35.3922 120 -1027.99 -987.257 -820.108 -2090.26 -1688.27 -795.326
150 145.681 -311673 -222.715 163831 73.2695 72.9538 35.3911 120 -1180.29 67.8841 444.262 -2166.73 -957.857 -1229.65
200 145.653 -311675 -86.5497 163812 73.2655 72.951 35.3903 120 38.0348 -115.156 -182.528 -2242.09 -1299.3 -951.149
250 146.208 -311679 1113.53 163793 73.261 72.9484 35.3896 120 84.4166 1221.73 2034.44 -1970.88 -525.015 -1326.64
300 145.377 -311678 363.996 163786 73.2567 72.9483 35.3904 120 -169.105 632.868 628.226 -2213.34 -1250.78 -1209.34
350 145.318 -311677 22.5671 163787 73.2529 72.9497 35.3917 120 112.485 -58.5873 13.8035 -2156.26 -1174.25 -808.157
400 145.514 -311675 800.903 163788 73.2501 72.9509 35.3927 120 986.321 727 689.387 -1788.08 -1731.11 -1075.83
450 145.89 -311674 667.877 163800 73.2494 72.9537 35.3941 120 1087.52 949.272 -33.1561 -2163.59 -926.643 -710.103
500 145.855 -311671 -485.954 163828 73.2511 72.9598 35.3965 120 -431.717 -190.36 -835.786 -1925.12 -1624.21 -807.626
550 148.675 -311674 107.915 163852 73.2523 72.9658 35.3982 120 128.014 -100.161 295.892 -1644.09 -440.454 -904.509
600 147.162 -311670 -733.82 163875 73.2543 72.9708 35.3998 120 -965.335 -235.801 -1000.32 -1776.57 -1315.68 -1340.27
650 146.716 -311669 -767.618 163883 73.2542 72.9741 35.4 120 -668.332 -1202.47 -432.047 -2584.18 -828.922 -702.929
700 145.622 -311669 -795.158 163877 73.2526 72.9742 35.3993 120 -177.408 -1460.11 -747.959 -1863.25 -1270.74 -923.362
750 147.36 -311674 -834.667 163857 73.2507 72.9702 35.3978 120 -264.404 -1156.19 -1083.4 -1755.34 -902.553 -792.072
800 145.927 -311674 -57.8354 163822 73.2474 72.9636 35.3951 120 182.013 -492.344 136.825 -2316.72 -617.603 -868.636
850 145.191 -311676 341.312 163783 73.2444 72.9556 35.3919 120 494.913 199.09 329.932 -2532.59 -1088.25 -646.25
900 144.699 -311676 403.647 163751 73.2432 72.9486 35.389 120 359.013 778.242 73.6865 -1967.08 -908.489 -1597.21
950 144.445 -311676 984.757 163737 73.2447 72.9449 35.3871 120 1222.45 848.721 883.102 -2079.22 -1005.65 -1734.49
1000 144.108 -311675 751.382 163747 73.2493 72.9451 35.3869 120 114.905 865.94 1273.3 -1964.1 -1221.87 -707.431
1050 145.847 -311676 508.166 163766 73.2536 72.9472 35.388 120 292.573 410.218 821.708 -2372.72 -871.998 -1055.67
1100 146.473 -311675 843.775 163788 73.2571 72.9495 35.3898 120 625.527 857.041 1048.76 -2071.62 -793.893 -836.694
1150 146.591 -311672 -630.329 163822 73.2623 72.9534 35.3929 120 -903.277 -261.396 -726.314 -1974.04 -1130.31 -515.465
1200 148.364 -311674 -756.608 163858 73.267 72.9584 35.396 120 -1132.53 -378.837 -758.461 -2159.32 -1331.97 -837.679
1250 145.76 -311668 -357.422 163883 73.2691 72.9627 35.3983 120 -887.52 118.169 -302.915 -1837.88 -585.707 -750.238
1300 147.01 -311671 -862.609 163892 73.267 72.966 35.3996 120 -794.572 -969.885 -823.371 -2144.11 -659.093 -980.551
1350 147.354 -311673 -325.822 163880 73.2617 72.9661 35.3996 120 -806.489 87.9957 -258.972 -2261.69 -908.085 -1274.36
1400 144.695 -311671 -190.862 163859 73.2546 72.9644 35.3993 120 -471.801 -70.3598 -30.4267 -2052.99 -409.88 -132.33
1450 143.606 -311671 918.688 163831 73.2459 72.9618 35.3987 120 1007.49 774.672 973.907 -2377.67 -1540.52 -958.307
1500 145.544 -311678 197.202 163808 73.2384 72.9603 35.398 120 561.836 664.606 -634.835 -1462.07 -969.32 -389.572
1550 144.998 -311677 601.01 163793 73.233 72.9612 35.3969 120 686.306 -39.0139 1155.74 -1973.86 -1382 -738.021
1600 145.131 -311677 494.755 163790 73.2299 72.9628 35.3969 120 737.7 42.0895 704.475 -1866.72 -654.12 -877.702
1650 144.939 -311676 -736.969 163791 73.229 72.9642 35.397 120 -208.546 -639.728 -1362.63 -1801.67 -1083.73 -972.799
1700 145.898 -311676 -35.6615 163786 73.229 72.9642 35.3959 120 -51.2079 -115.15 59.3729 -1849.4 -1291.59 -1421.05
